行政區,門牌,社區,交易日期,總價_萬元,單價_萬元每坪,總面積_坪,主建物佔比_pct,屋齡,樓別樓高_原始,交易標的_原始,建物格局_原始,緯度,經度,樓別,樓高,樓比,房數,廳數,衛數,含土地,含建物,含車位,交易季,屋齡分組,交易年月,dist_HSR,dist_min_超商,cnt_500m_超商,cnt_1km_超商,dist_avg_top3_超商,dist_avg_top5_超商,dist_min_學校,cnt_500m_學校,cnt_1km_學校,dist_avg_top3_學校,dist_avg_top5_學校,dist_min_捷運站,cnt_500m_捷運站,cnt_1km_捷運站,dist_avg_top3_捷運站,dist_avg_top5_捷運站,dist_min_早餐店,cnt_500m_早餐店,cnt_1km_早餐店,dist_avg_top3_早餐店,dist_avg_top5_早餐店,dist_min_咖啡店,cnt_500m_咖啡店,cnt_1km_咖啡店,dist_avg_top3_咖啡店,dist_avg_top5_咖啡店,dist_min_超市,cnt_500m_超市,cnt_1km_超市,dist_avg_top3_超市,dist_avg_top5_超市,dist_min_藥妝店,cnt_500m_藥妝店,cnt_1km_藥妝店,dist_avg_top3_藥妝店,dist_avg_top5_藥妝店,dist_min_速食店,cnt_500m_速食店,cnt_1km_速食店,dist_avg_top3_速食店,dist_avg_top5_速食店,dist_min_商圈,cnt_500m_商圈,cnt_1km_商圈,dist_avg_top3_商圈,dist_avg_top5_商圈,dist_min_捷運,cnt_500m_捷運,cnt_1km_捷運,dist_avg_top3_捷運,dist_avg_top5_捷運,dist_min_咖啡廳,cnt_500m_咖啡廳,cnt_1km_咖啡廳,dist_avg_top3_咖啡廳,dist_avg_top5_咖啡廳,房價指數,原始列號
板橋,板橋區英士路２６號十三樓,公園上品,2/28/2026,2400,71.26,36.89,53.37,8,十三層/十五層,土1 建1車1,2房2廳1衛,25.025266,121.461723,13,15,0.866666667,2,2,1,1,1,1,2026Q1,6月10日,2026-02,1250.731364,81.52517516,20,81,127.9006411,166.3566846,169.379176,3,6,293.179533,506.6568332,530.5382605,0,2,780.7271019,947.5808012,185.5972502,3,8,332.6945244,414.4683484,157.2396309,1,6,451.7235383,547.2567406,148.6620336,3,10,208.5997719,365.2883126,196.3650471,2,8,390.9057934,511.0795829,160.8444494,1,3,569.9359562,833.9505166,353.2211723,1,2,779.3286746,990.30787,,,,,,,,,,,161.63,1
板橋,板橋區五權街１之９號三樓,勝輝築苑,2/28/2026,900,57.66,15.61,57.38,12,三層/十二層,土1 建1車0,2房2廳1衛,24.995199,121.463673,3,12,0.25,2,2,1,1,1,0,2026Q1,11月20日,2026-02,2125.902031,162.562543,9,22,173.2374603,200.6723468,153.6518744,2,4,350.2488844,613.35184,1175.699351,0,0,1608.585791,1877.89065,468.7814848,1,2,802.5273659,921.6814507,756.6139022,0,3,805.8642968,911.5743853,594.3369171,0,2,898.4531865,1133.005984,158.2999407,2,5,420.14714,641.5185669,996.1086407,0,1,1354.701156,1509.885297,1540.297123,0,0,1608.740857,1707.464061,,,,,,,,,,,161.63,2
板橋,板橋區民生路三段３２１號三十四樓之７,巨蛋東京花園廣場,2/27/2026,1080,69.94,15.44,67.99,19,三十四層/三十七層,土2 建1車0,1房1廳1衛,25.030964,121.463032,34,37,0.918918919,1,1,1,2,1,0,2026Q1,11月20日,2026-02,1858.513986,17.10791427,19,50,61.90941486,91.92145449,489.9426567,1,3,621.934382,787.370576,676.085587,0,3,846.2993559,1227.072601,460.5429523,2,4,616.5865417,780.2014984,788.8529858,0,2,883.3792288,958.3159657,29.91160495,2,7,371.5837512,539.7141408,339.9490379,1,4,668.1782888,790.0754531,790.9046323,0,2,875.1155843,1096.32436,366.3264777,1,1,1116.792293,1430.67012,,,,,,,,,,,161.63,3
板橋,板橋區華江一路１１９號十八樓之１９,帝國花園廣場,2/26/2026,2810,78.93,42.03,58.72,2,十八層/十九層,土1 建1車1,3房2廳2衛,25.035417,121.475082,18,19,0.947368421,3,2,2,1,1,1,2026Q1,0-5,2026-02,2578.529532,102.4423582,7,31,209.3301753,287.3982697,399.7902531,1,3,704.8072478,970.1287956,711.9194815,0,1,1157.139087,1653.973958,186.7853703,2,3,381.4985631,651.5072941,531.3320514,0,4,680.2228333,894.3383866,576.6729802,0,4,619.7844983,754.6990296,591.2470507,0,5,605.9371165,653.8458318,671.9775977,0,2,1085.023309,1431.171207,1637.005314,0,0,1954.169711,2208.538773,,,,,,,,,,,161.63,4
板橋,板橋區大華街１８２巷１１號,nan,2/26/2026,1200,47.53,25.25,100,49,一層/四層,土1 建1車0,3房1廳1衛,25.003103,121.459189,1,4,0.25,3,1,1,1,1,0,2026Q1,30+,2026-02,1355.509225,173.5733667,18,53,176.1868025,192.8392995,308.2219754,2,7,419.9123082,510.4125452,481.5415866,1,2,789.2628328,1136.948389,202.6829603,3,5,244.936868,446.5181302,172.5724268,4,11,332.9634486,401.5098869,458.1038417,1,6,561.0974557,721.2585846,166.733891,2,7,413.4121538,482.9977838,269.5439902,1,5,513.1879285,651.1849774,588.3743118,0,3,693.6775385,830.7785667,,,,,,,,,,,161.63,5
板橋,板橋區國慶路１５８巷６號,歐洲公園,2/26/2026,2828,52.52,53.85,52.53,19,一層/十五層,土1 建1車1,4房1廳2衛,24.995324,121.46145,1,15,0.066666667,4,1,2,1,1,1,2026Q1,11月20日,2026-02,2132.633057,74.17063812,13,29,88.16208171,150.5042944,139.6462957,3,4,284.4334466,564.1727668,1001.458558,0,0,1525.640325,1846.361504,359.6424753,1,5,658.8796499,771.6305981,631.3456527,0,8,716.0654578,769.2047551,622.0990085,0,3,857.5632962,1057.566317,94.96827015,2,7,336.6057941,509.1332816,847.9121053,0,1,1281.102145,1445.514366,1473.686068,0,0,1547.39268,1657.325143,,,,,,,,,,,161.63,6
板橋,板橋區莊敬路３８號七樓,昇陽天廈,2/25/2026,2036,85,23.95,62.78,28,七層/十九層,土1 建1車0,3房2廳2衛,25.027088,121.472756,7,19,0.368421053,3,2,2,1,1,0,2026Q1,21-30,2026-02,1647.129897,51.53825307,16,74,116.1643726,170.1637662,252.1776219,2,4,422.4745563,572.1601914,277.0153499,1,3,479.2617876,873.1796721,106.9714199,1,9,428.256133,530.7712603,51.9094042,4,8,153.4238308,285.3488493,205.6378914,2,10,345.7928141,432.9746135,208.4370791,5,11,274.1010456,332.2864158,249.8764184,2,3,418.7858146,710.6437606,739.5904721,0,1,1187.433346,1379.193559,,,,,,,,,,,161.63,7
板橋,板橋區中正路３３８號三樓,環遊世界,2/24/2026,2650,48.59,60.29,69.49,32,三層/二十一層,土1 建1車1,4房2廳2衛,25.022679,121.455194,3,21,0.142857143,4,2,2,1,1,1,2026Q1,30+,2026-02,1321.630207,87.10081872,14,44,130.7045554,165.5357433,330.629913,4,5,378.9887167,488.8364233,1238.59059,0,0,1254.793312,1348.156219,166.9270387,2,6,386.0889006,559.8526805,580.8449296,0,2,803.0165582,963.9438835,98.7663043,2,5,300.0013643,429.0051107,465.1728775,1,2,677.6664246,890.4518421,576.1189643,0,1,1021.311028,1199.843753,848.0187439,0,1,1119.996789,1204.302201,,,,,,,,,,,161.63,8
板橋,板橋區四川路二段１號九樓之一,四川大樓,2/23/2026,570,46.39,12.29,62.04,27,九層/十二層,土1 建1車0,1房1廳1衛,24.99626,121.45639,9,12,0.75,1,1,1,1,1,0,2026Q1,21-30,2026-02,2166.361416,134.5688315,12,41,226.6772553,258.8620593,284.8260641,1,5,542.9653712,616.7744357,647.852407,0,1,1375.232434,1801.391638,333.5918002,2,6,414.6894182,546.2161998,284.7022298,5,9,315.0697463,347.83096,461.6052422,1,3,759.1192006,953.5742412,261.440068,5,7,332.9528978,389.9464811,615.3241676,0,1,1149.6904,1357.085267,1374.678254,0,0,1406.539456,1581.065135,,,,,,,,,,,161.63,9
板橋,板橋區漢生東路２６８之１號九樓,國家世紀館,2/23/2026,5468,79.71,70.66,61.73,18,九層/二十九層,土1 建1車1,4房2廳2衛,25.012623,121.468891,9,29,0.310344828,4,2,2,1,1,1,2026Q1,11月20日,2026-02,480.2813178,55.64074933,15,65,90.25217045,161.0925466,401.3188927,2,6,508.7585512,638.1930763,411.2805354,1,3,495.4275937,781.8715889,299.6841892,2,4,449.003011,646.5920654,230.3067073,3,12,318.6404424,412.2184273,723.0197909,0,3,813.6434554,915.7214797,230.3067073,4,8,318.6404424,401.2606101,230.3067073,1,5,502.800103,660.2391864,230.3067073,2,6,426.8961435,506.9621799,,,,,,,,,,,161.63,10
